# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2063346
# Notes: thingy 1.25
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695752214232,-0.28808594,-0.48339844,0.7861328,-0.21875,0.15625,0.0625,0.0,0.0,0.0
1695752214292,-0.296875,-0.48339844,0.7910156,0.03125,0.09375,0.0625,0.0,0.0,0.0
1695752214323,-0.29003906,-0.4892578,0.78027344,-0.03125,0.03125,0.0,0.0,0.0,0.0
1695752214352,-0.29492188,-0.4892578,0.7939453,0.03125,-0.03125,-0.0625,0.0,0.0,0.0
1695752214412,-0.29589844,-0.48046875,0.77441406,-0.15625,0.03125,0.0625,0.0,0.0,0.0
1695752214442,-0.29785156,-0.48339844,0.7763672,-0.15625,-0.09375,0.125,0.0,0.0,0.0
1695752214502,-0.2890625,-0.4892578,0.78515625,-0.03125,-0.28125,0.21875,0.0,0.0,0.0
1695752214532,-0.28222656,-0.49023438,0.77441406,-0.03125,-0.34375,0.28125,0.0,0.0,0.0
1695752214563,-0.29785156,-0.48242188,0.8027344,0.15625,-0.21875,0.21875,0.0,0.0,0.0
1695752214592,-0.2919922,-0.4951172,0.7890625,-0.09375,0.09375,0.15625,0.875,-17.9375,6.25
1695752214652,-0.28808594,-0.49023438,0.78027344,0.03125,0.09375,-0.0625,0.0,0.0,0.0
1695752214684,-0.29589844,-0.48828125,0.78125,-0.09375,0.28125,-0.0625,0.0,0.0,0.0
1695752214713,-0.29296875,-0.48632812,0.7871094,0.03125,0.09375,0.15625,0.0,0.0,0.0
1695752214772,-0.2861328,-0.48242188,0.7783203,0.15625,-0.09375,0.15625,0.0,0.0,0.0
1695752214803,-0.2919922,-0.484375,0.7832031,0.09375,0.09375,0.125,0.0,0.0,0.0
1695752214832,-0.2919922,-0.49316406,0.79003906,-0.03125,0.28125,-0.25,0.0,0.0,0.0
1695752214891,-0.2939453,-0.48535156,0.79003906,-0.03125,0.34375,-0.0625,0.0,0.0,0.0
1695752214922,-0.29296875,-0.484375,0.7753906,0.03125,-0.21875,0.15625,0.0,0.0,0.0
1695752214952,-0.28125,-0.4951172,0.7714844,0.15625,-0.4375,0.28125,0.0,0.0,0.0
1695752215012,-0.29101562,-0.5019531,0.7783203,0.15625,-0.28125,0.125,0.0,0.0,0.0
1695752215042,-0.2841797,-0.4892578,0.77734375,-0.03125,-0.03125,0.0625,0.0,0.0,0.0
1695752215072,-0.2861328,-0.4921875,0.7871094,0.15625,0.09375,0.0625,1.5,-19.1875,4.4375
1695752215132,-0.29101562,-0.49121094,0.78808594,0.1875,0.21875,0.0625,0.0,0.0,0.0
1695752215222,-0.28808594,-0.48535156,0.7841797,0.3125,-0.09375,0.15625,0.0,0.0,0.0
1695752215225,-0.29785156,-0.48828125,0.7841797,0.1875,-0.03125,0.125,0.0,0.0,0.0
1695752215283,-0.296875,-0.49121094,0.7910156,0.1875,0.03125,-0.125,0.0,0.0,0.0
1695752215286,-0.29296875,-0.4873047,0.7919922,0.25,-0.09375,0.0,0.0,0.0,0.0
1695752215312,-0.29101562,-0.4892578,0.7988281,0.15625,0.09375,0.125,0.0,0.0,0.0
1695752215373,-0.2939453,-0.48632812,0.7939453,-0.03125,-0.15625,0.125,0.0,0.0,0.0
1695752215403,-0.29492188,-0.4814453,0.77246094,0.25,-0.15625,0.15625,0.0,0.0,0.0
1695752215462,-0.28515625,-0.47851562,0.7861328,-0.15625,0.09375,0.03125,0.0,0.0,0.0
1695752215493,-0.29101562,-0.49023438,0.7871094,0.15625,-0.15625,-0.03125,0.0,0.0,0.0
1695752215523,-0.28808594,-0.49609375,0.7861328,0.09375,-0.03125,0.0625,0.0,0.0,0.0
1695752215553,-0.28710938,-0.49414062,0.78808594,0.09375,-0.09375,0.03125,0.0,0.0,0.0
1695752215612,-0.28125,-0.4921875,0.7890625,0.21875,0.09375,0.0625,0.3125,-19.9375,4.125
1695752215642,-0.28515625,-0.49316406,0.78808594,-0.03125,-0.09375,0.03125,0.0,0.0,0.0
1695752215672,-0.2919922,-0.49023438,0.7832031,0.03125,0.15625,-0.09375,0.0,0.0,0.0
1695752215734,-0.29101562,-0.49902344,0.7841797,-0.03125,0.09375,-0.15625,0.0,0.0,0.0
1695752215763,-0.29101562,-0.49023438,0.7890625,0.15625,0.15625,-0.15625,0.0,0.0,0.0
1695752215794,-0.29296875,-0.48828125,0.7832031,0.03125,-0.03125,-0.03125,0.0,0.0,0.0
1695752215851,-0.29589844,-0.4873047,0.78808594,0.28125,-0.15625,0.03125,0.0,0.0,0.0
1695752215882,-0.2861328,-0.48632812,0.79785156,0.21875,-0.03125,0.125,0.0,0.0,0.0
1695752215914,-0.2890625,-0.49609375,0.7871094,-0.09375,-0.03125,0.0625,0.0,0.0,0.0
1695752215972,-0.2890625,-0.48828125,0.7988281,0.28125,-0.09375,0.03125,0.0,0.0,0.0
1695752216033,-0.29296875,-0.4892578,0.7832031,0.09375,-0.09375,0.03125,0.0,0.0,0.0
1695752216035,-0.2939453,-0.4892578,0.7871094,0.40625,-0.09375,0.03125,0.0,0.0,0.0
1695752216092,-0.29003906,-0.48242188,0.78515625,0.46875,0.03125,0.0625,1.0625,-20.5,3.6875
1695752216123,-0.28808594,-0.4814453,0.78515625,0.28125,0.09375,0.0625,0.0,0.0,0.0
1695752216152,-0.2919922,-0.49023438,0.7763672,0.34375,-0.09375,0.03125,0.0,0.0,0.0
1695752216212,-0.29492188,-0.48339844,0.7705078,0.34375,0.09375,0.03125,0.0,0.0,0.0
1695752216243,-0.2890625,-0.48828125,0.78125,0.28125,0.03125,0.125,0.0,0.0,0.0
1695752216277,-0.29003906,-0.48242188,0.796875,0.34375,-0.15625,0.125,0.0,0.0,0.0
